"filename", "language", "YAML", "Markdown", "JSON", "Dart", "C++", "CMake", "HTML", "Swift", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\addressesPage.dart", "Dart", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 1, 7, 131
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\businessSelectStartPage.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 9, 75
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\cartPage.dart", "Dart", 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 21, 16, 308
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\categoryPage.dart", "Dart", 0, 0, 0, 1056, 0, 0, 0, 0, 0, 0, 0, 100, 77, 1233
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\createAddress.dart", "Dart", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 5, 220
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\createOrder.dart", "Dart", 0, 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 45, 21, 444
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\dealPage.dart", "Dart", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 1, 6, 177
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\favPage.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 229, 16, 341
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\homePage.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 65, 11, 222
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\loginPage.dart", "Dart", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 1, 5, 178
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\orderConfirmation.dart", "Dart", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 1, 8, 108
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\orderPage.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\pickAddressPage.dart", "Dart", 0, 0, 0, 870, 0, 0, 0, 0, 0, 0, 0, 78, 100, 1048
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\productPage.dart", "Dart", 0, 0, 0, 625, 0, 0, 0, 0, 0, 0, 0, 22, 22, 669
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\profilePage.dart", "Dart", 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 1, 14, 258
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\registrationPage.dart", "Dart", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 7, 211
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\settingsPage.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\pages\startPage.dart", "Dart", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 6, 162
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\shared\buyButton.dart", "Dart", 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 2, 14, 261
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\shared\commonAppBar.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 1, 6, 102
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\shared\likeButton.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 4, 59
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\lib\shared\propertyIcon.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\linux\my_application.cc", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\serge\OneDrive\Documents\flutter\naliv_delivery\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
